script,title,link
中国外交部.py,习近平结束出席金砖国家领导人第十八次会晤回到北京,https://www.fmprc.gov.cn/zyxw/202609/t20260913_12021364.shtml
中国外交部.py,习近平圆满结束出席金砖国家领导人第十八次会晤,https://www.fmprc.gov.cn/zyxw/202609/t20260913_12021311.shtml
中国外交部.py,习近平在金砖国家领导人第十八次会晤第二阶段会议的讲话（全文）,https://www.fmprc.gov.cn/zyxw/202609/t20260913_12021298.shtml
中国外交部.py,习近平出席金砖国家领导人第十八次会晤第二阶段会议并发表重要讲话,https://www.fmprc.gov.cn/zyxw/202609/t20260913_12021296.shtml
中国外交部.py,中共中央政治局委员、外交部长王毅谈习近平主席赴印度出席金砖国家领导人第十八次会晤,https://www.fmprc.gov.cn/zyxw/202609/t20260913_12021379.shtml
中国外交部.py,金砖国家领导人第十八次会晤新德里宣言（摘要）,https://www.fmprc.gov.cn/zyxw/202609/t20260913_12021227.shtml
中国外交部.py,中共中央政治局委员、外交部长王毅谈习近平主席赴印度出席金砖国家领导人第十八次会晤,https://www.fmprc.gov.cn/wjbzhd/202609/t20260913_12021379.shtml
中国外交部.py,中共中央政治局委员、外交部长王毅谈习近平主席赴印度出席金砖国家领导人第十八次会晤,https://www.fmprc.gov.cn/wjdt_674879/gjldrhd_674881/202609/t20260913_12021379.shtml
中国外交部.py,习近平结束出席金砖国家领导人第十八次会晤回到北京,https://www.fmprc.gov.cn/wjdt_674879/gjldrhd_674881/202609/t20260913_12021364.shtml
中国外交部.py,习近平圆满结束出席金砖国家领导人第十八次会晤,https://www.fmprc.gov.cn/wjdt_674879/gjldrhd_674881/202609/t20260913_12021311.shtml
中国外交部.py,习近平出席金砖国家领导人第十八次会晤第二阶段会议并发表重要讲话,https://www.fmprc.gov.cn/wjdt_674879/gjldrhd_674881/202609/t20260913_12021296.shtml
中国外交部.py,中共中央政治局委员、外交部长王毅谈习近平主席赴印度出席金砖国家领导人第十八次会晤,https://www.fmprc.gov.cn/wjdt_674879/wjbxw_674885/202609/t20260913_12021379.shtml
中国外交部.py,习近平在金砖国家领导人第十八次会晤第二阶段会议的讲话（全文）,https://www.mfa.gov.cn/web/ziliao_674904/zyjh_674906/202609/t20260913_12021298.shtml
中国外交部.py,金砖国家领导人第十八次会晤新德里宣言（摘要）,https://www.mfa.gov.cn/web/ziliao_674904/1179_674909/202609/t20260913_12021227.shtml
国际海事组织.py,,
世界贸易组织.py,,
日本外务省.py,,
联合国海洋法庭.py,,
国际海底管理局.py,,
战略与国际研究中心.py,,
美国国务院.py,,
美国运输部海事管理局.py,,
中国海事局.py,,
日本海上保安大学校.py,,
日本海上保安厅.py,,
太平洋岛国论坛.py,,
越南外交部.py,AIIB cam kết tiếp tục đồng hành cùng Việt Nam phát triển cơ sở hạ tầng bền vững,https://mofa.gov.vn/tin-chi-tiet/chi-tiet/aiib-cam-ket-tiep-tuc-dong-hanh-cung-viet-nam-phat-trien-co-so-ha-tang-ben-vung-62012-138.html
越南外交部.py,Thủ tướng Chính phủ Lê Minh Hưng tiếp Tổng Giám đốc Tổ chức Thương mại Thế giới,https://mofa.gov.vn/tin-chi-tiet/chi-tiet/thu-tuong-chinh-phu-le-minh-hung-tiep-tong-giam-doc-to-chuc-thuong-mai-the-gioi-62011-138.html
越南外交学院.py,,
中国国际电视台官微.py,,
南海之声.py,,
