script,title,link
中国外交部.py,,
国际海事组织.py,,
世界贸易组织.py,,
日本外务省.py,,
联合国海洋法庭.py,,
国际海底管理局.py,The Permanent Representative of the Republic of France presents credentials to the Secretary-General of the International Seabed Authority,https://isa.org.jm/news/the-permanent-representative-of-the-republic-of-france-presents-credentials-to-the-secretary-general-of-the-international-seabed-authority/
国际海底管理局.py,Deputy Secretary-General and Chef de Cabinet of the International Seabed Authority delivers opening remarks for “Race to the Bottom? Fostering Evidence-Based Dialogue and Action on Deep-Sea Minerals and Metals” UNEA side event.,https://isa.org.jm/news/deputy-secretary-general-and-chef-de-cabinet-of-the-international-seabed-authority-delivers-opening-remarks-for-race-to-the-bottom-fostering-evidence-based-dialogue-and-action-on-deep-sea-mi/
战略与国际研究中心.py,Deploying Critical Minerals Price Support Mechanisms,https://www.csis.org/events/deploying-critical-minerals-price-support-mechanisms
美国国务院.py,,
美国运输部海事管理局.py,,
中国海事局.py,,
日本海上保安大学校.py,,
日本海上保安厅.py,,
太平洋岛国论坛.py,,
越南外交部.py,,
越南外交学院.py,,
中国国际电视台官微.py,,
南海之声.py,,
