script,title,link
中国外交部.py,,
国际海事组织.py,,
世界贸易组织.py,,
日本外务省.py,Statement by State Minister for Foreign Affairs Miyaji on the occasion of the UN High-Level Political Forum on Sustainable Development (HLPF) Ministerial Segment,https://www.mofa.go.jp/press/release/pressite_000001_01480.html
日本外务省.py,"Meeting between State Minister for Foreign Affairs MIYAJI and H.E. Mr. Maris Sangiampongsa, Minister of Foreign Affairs of the Kingdom of Thailand",https://www.mofa.go.jp/press/release/pressite_000001_01479.html
联合国海洋法庭.py,,
国际海底管理局.py,,
战略与国际研究中心.py,The Impossible State Live Podcast: US-South Korea Trade Deal and Alliance Modernization?,https://www.csis.org/events/impossible-state-live-podcast-us-south-korea-trade-deal-and-alliance-modernization
战略与国际研究中心.py,The Impossible State Live Podcast: US-South Korea Trade Deal and Alliance Modernization?,https://www.csis.org/events/impossible-state-live-podcast-us-south-korea-trade-deal-and-alliance-modernization
美国国务院.py,,
美国运输部海事管理局.py,,
中国海事局.py,,
日本海上保安大学校.py,,
日本海上保安厅.py,,
太平洋岛国论坛.py,[REMARKS] Opening Remarks by the PIF Secretary General at the opening of the PIF Women Leaders Meeting,https://forumsec.org/publications/remarks-opening-remarks-pif-secretary-general-opening-pif-women-leaders-meeting
越南外交部.py,,
越南外交学院.py,,
中国国际电视台官微.py,中国—欧盟领导人会晤前瞻：双方互释积极信号 但挑战依然存在,https://video.weibo.com/show?fid=1034%3A5191654047416414
南海之声.py,,https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E6%97%A9%E5%AE%89%E5%8D%97%E6%B5%B7%23&isnewpage=1
海事服务网.py,,
