script,title,link
中国外交部.py,习近平同俄罗斯总统普京会谈,https://www.fmprc.gov.cn/zyxw/202509/t20250902_11700238.shtml
中国外交部.py,上海合作组织成员国元首理事会关于加强数字经济发展的声明,https://www.fmprc.gov.cn/zyxw/202509/t20250902_11700019.shtml
中国外交部.py,习近平会见蒙古国总统呼日勒苏赫,https://www.fmprc.gov.cn/zyxw/202509/t20250902_11700219.shtml
中国外交部.py,上海合作组织成员国元首理事会关于有效处理和应对世界毒品问题的声明,https://www.fmprc.gov.cn/zyxw/202509/t20250902_11700017.shtml
中国外交部.py,习近平会见乌兹别克斯坦总统米尔济约耶夫,https://www.fmprc.gov.cn/zyxw/202509/t20250902_11700195.shtml
中国外交部.py,上海合作组织成员国元首理事会关于进一步深化人工智能国际合作的声明,https://www.fmprc.gov.cn/zyxw/202509/t20250902_11700015.shtml
中国外交部.py,上海合作组织成员国元首理事会关于绿色产业合作的声明,https://www.fmprc.gov.cn/zyxw/202509/t20250902_11700013.shtml
中国外交部.py,上海合作组织成员国元首理事会关于能源可持续发展的声明,https://www.fmprc.gov.cn/zyxw/202509/t20250902_11700011.shtml
中国外交部.py,上海合作组织成员国元首理事会关于进一步加强科技创新合作的声明,https://www.fmprc.gov.cn/zyxw/202509/t20250902_11700009.shtml
中国外交部.py,中国担任上海合作组织2024－2025年轮值主席国工作成果清单,https://www.fmprc.gov.cn/zyxw/202509/t20250902_11699945.shtml
中国外交部.py,王毅会见印尼外长苏吉约诺,https://www.fmprc.gov.cn/wjbzhd/202509/t20250902_11699927.shtml
中国外交部.py,习近平主持中俄蒙元首第七次会晤,https://www.fmprc.gov.cn/wjdt_674879/gjldrhd_674881/202509/t20250902_11700234.shtml
中国外交部.py,习近平会见蒙古国总统呼日勒苏赫,https://www.fmprc.gov.cn/wjdt_674879/gjldrhd_674881/202509/t20250902_11700219.shtml
中国外交部.py,习近平会见乌兹别克斯坦总统米尔济约耶夫,https://www.fmprc.gov.cn/wjdt_674879/gjldrhd_674881/202509/t20250902_11700195.shtml
中国外交部.py,王毅会见印尼外长苏吉约诺,https://www.fmprc.gov.cn/wjdt_674879/gjldrhd_674881/202509/t20250902_11699927.shtml
中国外交部.py,王毅会见印尼外长苏吉约诺,https://www.fmprc.gov.cn/wjdt_674879/wjbxw_674885/202509/t20250902_11699927.shtml
中国外交部.py,驻喀山总领事向波在俄罗斯媒体发表署名文章《纪念伟大胜利 捍卫历史正义》,https://www.fmprc.gov.cn/wjdt_674879/zwbd_674895/202509/t20250902_11700150.shtml
中国外交部.py,驻佛得角大使张洋出席使馆举办的纪念中国人民抗日战争暨世界反法西斯战争胜利80周年图片展,https://www.fmprc.gov.cn/wjdt_674879/zwbd_674895/202509/t20250902_11700146.shtml
中国外交部.py,驻米兰总领事刘侃在意媒《今日国际》发表署名文章《高擎历史火炬，照亮未来之路——不能忘却的纪念》,https://www.fmprc.gov.cn/wjdt_674879/zwbd_674895/202509/t20250902_11700227.shtml
中国外交部.py,驻佛得角大使张洋主持召开“中佛携手推进‘公正合理、开放共赢’现代化”研讨会,https://www.fmprc.gov.cn/wjdt_674879/zwbd_674895/202509/t20250902_11700147.shtml
