script,title,link
中国外交部.py,关于对美国军工相关企业及高级管理人员采取反制措施的决定,https://www.fmprc.gov.cn/wjbxw_new/202512/t20251226_11787617.shtml
中国外交部.py,文明互鉴点亮岁末 民心相通开启新篇——中沙文化年压轴活动“中沙文化市集”在利雅得开启,https://www.fmprc.gov.cn/wjdt_674879/zwbd_674895/202512/t20251226_11787618.shtml
中国外交部.py,驻也门使馆临时代办邵峥分别拜会也副外长努曼和巴贾西,https://www.fmprc.gov.cn/wjdt_674879/zwbd_674895/202512/t20251226_11787609.shtml
中国外交部.py,驻吉达总领事王奇敏出席第二届沙特中文书法比赛颁奖仪式,https://www.fmprc.gov.cn/wjdt_674879/zwbd_674895/202512/t20251226_11787592.shtml
中国外交部.py,驻佛得角大使张洋出席佛政府采购同方威视安检设备签约仪式,https://www.fmprc.gov.cn/wjdt_674879/zwbd_674895/202512/t20251226_11787589.shtml
中国外交部.py,驻佛得角大使张洋拜会佛外长利夫拉门托,https://www.fmprc.gov.cn/wjdt_674879/zwbd_674895/202512/t20251226_11787587.shtml
中国外交部.py,外交部发言人就反制美国向中国台湾地区出售武器答记者问,https://www.fmprc.gov.cn/wjdt_674879/zcjd/202512/t20251226_11787886.shtml
中国外交部.py,驻也门使馆临时代办邵峥分别拜会也副外长努曼和巴贾西,https://www.fmprc.gov.cn/zwbd_673032/wshd_673034/202512/t20251226_11787609.shtml
中国外交部.py,驻佛得角大使张洋拜会佛外长利夫拉门托,https://www.fmprc.gov.cn/zwbd_673032/wshd_673034/202512/t20251226_11787587.shtml
中国外交部.py,驻吉达总领事王奇敏出席第二届沙特中文书法比赛颁奖仪式,https://www.fmprc.gov.cn/zwbd_673032/gzhd_673042/202512/t20251226_11787592.shtml
中国外交部.py,驻佛得角大使张洋出席佛政府采购同方威视安检设备签约仪式,https://www.fmprc.gov.cn/zwbd_673032/gzhd_673042/202512/t20251226_11787589.shtml
中国外交部.py,文明互鉴点亮岁末 民心相通开启新篇——中沙文化年压轴活动“中沙文化市集”在利雅得开启,https://www.fmprc.gov.cn/zwbd_673032/ywfc_673029/202512/t20251226_11787618.shtml
中国外交部.py,2025年12月26日外交部发言人林剑主持例行记者会,https://www.fmprc.gov.cn/fyrbt_673021/jzhsl_673025/202512/t20251226_11787943.shtml
中国外交部.py,外交部发言人就反制美国向中国台湾地区出售武器答记者问,https://www.fmprc.gov.cn/fyrbt_673021/dhdw_673027/202512/t20251226_11787886.shtml
国际海事组织.py,,
世界贸易组织.py,,
日本外务省.py,Japan-U.S. Joint Committee Statement on Unilateral Patrol by the U.S. Military Police,https://www.mofa.go.jp/press/release/pressite_000001_01971.html
日本外务省.py,Parliamentary Vice-Minister for Foreign Affairs ONISHI’s Visit to the People's Democratic Republic of Algeria,https://www.mofa.go.jp/press/release/pressite_000001_01970.html
联合国海洋法庭.py,,
国际海底管理局.py,,
战略与国际研究中心.py,,
美国国务院.py,,
美国运输部海事管理局.py,,
中国海事局.py,部海事局召开安委会会议暨水上交通安全监管视频会议,https://www.msa.gov.cn/page/article.do?articleId=EB355A78-7971-47B1-8CEA-1EEFB1705C38&channelId=A1C5D4CC-DB15-493C-B2FC-A14C490D6331
日本海上保安大学校.py,,
日本海上保安厅.py,,
太平洋岛国论坛.py,,
越南外交部.py,,
越南外交学院.py,,
中国国际电视台官微.py,,
南海之声.py,,
