script,title,link
中国外交部.py,李强会见意大利总理梅洛尼,https://www.fmprc.gov.cn/zyxw/202511/t20251123_11758296.shtml
中国外交部.py,王毅在结束对中亚三国访问后接受中国媒体采访,https://www.fmprc.gov.cn/wjbzhd/202511/t20251123_11758281.shtml
中国外交部.py,李强会见意大利总理梅洛尼,https://www.fmprc.gov.cn/wjdt_674879/gjldrhd_674881/202511/t20251123_11758296.shtml
中国外交部.py,王毅在结束对中亚三国访问后接受中国媒体采访,https://www.mfa.gov.cn/web/ziliao_674904/zyjh_674906/202511/t20251123_11758281.shtml
国际海事组织.py,,
世界贸易组织.py,,
日本外务省.py,,
联合国海洋法庭.py,,
战略与国际研究中心.py,,
美国国务院.py,,
美国运输部海事管理局.py,,
中国海事局.py,,
日本海上保安大学校.py,,
日本海上保安厅.py,,
太平洋岛国论坛.py,,
越南外交部.py,,
越南外交学院.py,,
中国国际电视台官微.py,,
南海之声.py,,
