script,title,link
中国外交部.py,习近平会见葡萄牙总理蒙特内格罗,https://www.fmprc.gov.cn/zyxw/202509/t20250909_11705030.shtml
中国外交部.py,习近平就朝鲜国庆77周年向朝鲜最高领导人金正恩致贺电,https://www.fmprc.gov.cn/zyxw/202509/t20250909_11705026.shtml
中国外交部.py,韩正出席2025全球能源互联网大会并致辞,https://www.fmprc.gov.cn/zyxw/202509/t20250909_11705023.shtml
中国外交部.py,习近平会见葡萄牙总理蒙特内格罗,https://www.fmprc.gov.cn/wjdt_674879/gjldrhd_674881/202509/t20250909_11705030.shtml
中国外交部.py,习近平就朝鲜国庆77周年向朝鲜最高领导人金正恩致贺电,https://www.fmprc.gov.cn/wjdt_674879/gjldrhd_674881/202509/t20250909_11705026.shtml
中国外交部.py,韩正出席2025全球能源互联网大会并致辞,https://www.fmprc.gov.cn/wjdt_674879/gjldrhd_674881/202509/t20250909_11705023.shtml
中国外交部.py,驻利比里亚大使尹承武在利媒体发表署名文章《坚定维护世界反法西斯战争胜利成果》,https://www.fmprc.gov.cn/wjdt_674879/zwbd_674895/202509/t20250909_11704974.shtml
中国外交部.py,驻卡尔加里代总领事王秀胜出席卡尔加里大学中国留学生迎新晚会并举行“领保进校园”活动,https://www.fmprc.gov.cn/wjdt_674879/zwbd_674895/202509/t20250909_11704973.shtml
中国外交部.py,驻拉各斯总领事严宇清出席爱非中文学校分校揭牌仪式,https://www.fmprc.gov.cn/wjdt_674879/zwbd_674895/202509/t20250909_11704957.shtml
中国外交部.py,驻黎巴嫩大使陈传东在黎《白天报》发表署名文章《以史为鉴 开创和平美好未来》,https://www.fmprc.gov.cn/wjdt_674879/zwbd_674895/202509/t20250909_11704979.shtml
中国外交部.py,驻黎巴嫩大使陈传东拜会经贸部长比萨特,https://www.fmprc.gov.cn/wjdt_674879/zwbd_674895/202509/t20250909_11704978.shtml
中国外交部.py,驻黎巴嫩大使陈传东出席黎第五届中国象棋大赛,https://www.fmprc.gov.cn/wjdt_674879/zwbd_674895/202509/t20250909_11704980.shtml
中国外交部.py,驻阿尔及利亚大使董广利走访阿《祖国报》总部,https://www.fmprc.gov.cn/wjdt_674879/zwbd_674895/202509/t20250909_11704964.shtml
中国外交部.py,驻黎巴嫩大使陈传东拜会经贸部长比萨特,https://www.fmprc.gov.cn/zwbd_673032/wshd_673034/202509/t20250909_11704978.shtml
中国外交部.py,驻拉各斯总领事严宇清出席爱非中文学校分校揭牌仪式,https://www.fmprc.gov.cn/zwbd_673032/gzhd_673042/202509/t20250909_11704957.shtml
中国外交部.py,驻黎巴嫩大使陈传东出席黎第五届中国象棋大赛,https://www.fmprc.gov.cn/zwbd_673032/gzhd_673042/202509/t20250909_11704980.shtml
中国外交部.py,驻阿尔及利亚大使董广利走访阿《祖国报》总部,https://www.fmprc.gov.cn/zwbd_673032/gzhd_673042/202509/t20250909_11704964.shtml
中国外交部.py,驻叶卡捷琳堡总领事罗世雄访问《南乌拉尔全景报》报社,https://www.fmprc.gov.cn/zwbd_673032/gzhd_673042/202509/t20250909_11704962.shtml
中国外交部.py,驻佛罗伦萨代总领事管仲奇出席《南京照相馆》普拉托专场观影会,https://www.fmprc.gov.cn/zwbd_673032/gzhd_673042/202509/t20250909_11704959.shtml
中国外交部.py,驻利比里亚大使尹承武在利媒体发表署名文章《坚定维护世界反法西斯战争胜利成果》,https://www.fmprc.gov.cn/zwbd_673032/wjzs/202509/t20250909_11704974.shtml
中国外交部.py,驻黎巴嫩大使陈传东在黎《白天报》发表署名文章《以史为鉴 开创和平美好未来》,https://www.fmprc.gov.cn/zwbd_673032/wjzs/202509/t20250909_11704979.shtml
中国外交部.py,驻埃及大使兼驻阿盟全权代表廖力强在埃《共和国报》发表署名文章《纪念伟大胜利 共创美好未来》,https://www.fmprc.gov.cn/zwbd_673032/wjzs/202509/t20250909_11704984.shtml
中国外交部.py,驻卡尔加里代总领事王秀胜出席卡尔加里大学中国留学生迎新晚会并举行“领保进校园”活动,https://www.fmprc.gov.cn/zwbd_673032/jghd_673046/202509/t20250909_11704973.shtml
中国外交部.py,驻佛罗伦萨代总领事管仲奇出席佛罗伦萨中华传统龙舟赛活动,https://www.fmprc.gov.cn/zwbd_673032/jghd_673046/202509/t20250909_11704960.shtml
国际海事组织.py,,
世界贸易组织.py,,
日本外务省.py,,
联合国海洋法庭.py,,
国际海底管理局.py,,
战略与国际研究中心.py,,
