script,title,link
中国外交部.py,习近平同沙特王储兼首相穆罕默德通电话,https://www.fmprc.gov.cn/zyxw/202604/t20260420_11895580.shtml
中国外交部.py,习近平同沙特王储兼首相穆罕默德通电话,https://www.fmprc.gov.cn/wjdt_674879/gjldrhd_674881/202604/t20260420_11895580.shtml
中国外交部.py,莫桑比克司法、宪法和宗教事务部部长在京签署国际调解院公约,https://www.fmprc.gov.cn/wjdt_674879/sjxw_674887/202604/t20260420_11895529.shtml
中国外交部.py,驻斐济使馆临时代办汪元出席2026中国—太平洋岛国应对气候变化合作交流周启动仪式,https://www.fmprc.gov.cn/wjdt_674879/zwbd_674895/202604/t20260420_11895318.shtml
中国外交部.py,驻汉堡总领事林动拜会德国下萨克森州希尔德斯海姆市市长,https://www.fmprc.gov.cn/wjdt_674879/zwbd_674895/202604/t20260420_11895295.shtml
中国外交部.py,驻汉堡总领事林动到任拜会联合国教科文组织终身学习研究所所长,https://www.fmprc.gov.cn/wjdt_674879/zwbd_674895/202604/t20260420_11895296.shtml
中国外交部.py,驻汉堡总领事林动拜会汉堡市交通部长贾科斯,https://www.fmprc.gov.cn/wjdt_674879/zwbd_674895/202604/t20260420_11895293.shtml
中国外交部.py,驻汉堡总领事林动到任拜会石荷州经济、交通、劳动、技术和旅游部长,https://www.fmprc.gov.cn/wjdt_674879/zwbd_674895/202604/t20260420_11895294.shtml
中国外交部.py,驻斯洛文尼亚大使康艳出席2026地区商业女性论坛,https://www.fmprc.gov.cn/wjdt_674879/zwbd_674895/202604/t20260420_11895304.shtml
中国外交部.py,驻斐济使馆临时代办汪元出席2026中国—太平洋岛国应对气候变化合作交流周启动仪式,https://www.fmprc.gov.cn/zwbd_673032/wshd_673034/202604/t20260420_11895318.shtml
中国外交部.py,驻汉堡总领事林动拜会德国下萨克森州希尔德斯海姆市市长,https://www.fmprc.gov.cn/zwbd_673032/wshd_673034/202604/t20260420_11895295.shtml
中国外交部.py,驻汉堡总领事林动拜会汉堡市交通部长贾科斯,https://www.fmprc.gov.cn/zwbd_673032/wshd_673034/202604/t20260420_11895293.shtml
中国外交部.py,驻汉堡总领事林动到任拜会石荷州经济、交通、劳动、技术和旅游部长,https://www.fmprc.gov.cn/zwbd_673032/wshd_673034/202604/t20260420_11895294.shtml
中国外交部.py,驻斯洛文尼亚大使康艳出席2026地区商业女性论坛,https://www.fmprc.gov.cn/zwbd_673032/gzhd_673042/202604/t20260420_11895304.shtml
中国外交部.py,驻汉堡总领事林动到任拜会联合国教科文组织终身学习研究所所长,https://www.fmprc.gov.cn/zwbd_673032/gzhd_673042/202604/t20260420_11895296.shtml
中国外交部.py,2026年4月20日外交部发言人郭嘉昆主持例行记者会,https://www.fmprc.gov.cn/fyrbt_673021/jzhsl_673025/202604/t20260420_11895519.shtml
国际海事组织.py,,
世界贸易组织.py,,
日本外务省.py,State Minister for Foreign Affairs KUNIMITSU's Video Message for the 82nd Session of the United Nations Economic and Social Commission for Asia and the Pacific (ESCAP),https://www.mofa.go.jp/press/release/pressite_000001_02278.html
日本外务省.py,Signing of the Japan-UK Memorandum of Cooperation on Mutual Assistance to Japanese and British Nationals Abroad,https://www.mofa.go.jp/press/release/pressite_000001_02277.html
日本外务省.py,"Courtesy call on State Minister for Foreign Affairs HORII by Ms. Faalavaau Perina Jacqueline Sila-Tualaulelei, Ambassador of Samoa to Japan",https://www.mofa.go.jp/press/release/pressite_000001_02276.html
日本外务省.py,New Movement by China Concerning Unilateral Development of Natural Resources in the East China Sea,https://www.mofa.go.jp/press/release/pressite_000001_02275.html
日本外务省.py,UK Foreign Secretary to Visit Japan and Hold the Tenth Japan-UK Foreign Ministers' Strategic Dialogue,https://www.mofa.go.jp/press/release/pressite_000001_02274.html
联合国海洋法庭.py,,
国际海底管理局.py,,
战略与国际研究中心.py,Maintaining America’s Edge: Is the United States Losing the Lead in an Increasingly Competitive World?,https://www.csis.org/events/maintaining-americas-edge-united-states-losing-lead-increasingly-competitive-world
战略与国际研究中心.py,Strategic Forces Priorities: A Conversation with Senator Deb Fischer,https://www.csis.org/events/strategic-forces-priorities-conversation-senator-deb-fischer
战略与国际研究中心.py,The FAR and Beyond: A New Era in Government Acquisition | All About the Base,https://www.csis.org/events/far-and-beyond-new-era-government-acquisition-all-about-base
美国国务院.py,Ensuring the Safety of American Citizens Overseas,https://www.state.gov/ensuring-the-safety-of-american-citizens-overseas/?utm_source=homepage&utm_medium=news_bar&utm_campaign=american_citizens_in_the_Middle_East
美国运输部海事管理局.py,,
中国海事局.py,,
日本海上保安大学校.py,,
日本海上保安厅.py,,
太平洋岛国论坛.py,,
越南外交部.py,,
越南外交学院.py,,
中国国际电视台官微.py,,
南海之声.py,,
