script,title,link
中国外交部.py,外交部条法司与香港特区政府律政司举行涉港外交条法工作年度磋商,https://www.fmprc.gov.cn/wjdt_674879/sjxw_674887/202605/t20260508_11906608.shtml
国际海事组织.py,,
世界贸易组织.py,,
日本外务省.py,,
联合国海洋法庭.py,,
国际海底管理局.py,,
战略与国际研究中心.py,Energy Shots: Affordability Meets AI,https://www.csis.org/events/energy-shots-affordability-meets-ai
战略与国际研究中心.py,Energy Shots: Affordability Meets AI,https://www.csis.org/events/energy-shots-affordability-meets-ai
美国国务院.py,,
美国运输部海事管理局.py,,
中国海事局.py,,
日本海上保安大学校.py,,
日本海上保安厅.py,,
太平洋岛国论坛.py,,
越南外交部.py,,
越南外交学院.py,,
中国国际电视台官微.py,,
南海之声.py,,
海事服务网.py,,
