script,title,link
中国外交部.py,塔吉克斯坦外长穆赫里丁签署国际调解院公约,https://www.fmprc.gov.cn/wjbxw_new/202605/t20260511_11908545.shtml
中国外交部.py,外交部部长助理刘彬会见俄罗斯驻华大使莫尔古洛夫,https://www.fmprc.gov.cn/wjbxw_new/202605/t20260511_11908385.shtml
中国外交部.py,美国总统特朗普将对中国进行国事访问,https://www.fmprc.gov.cn/wjdt_674879/wsrc_674883/202605/t20260511_11908075.shtml
中国外交部.py,驻利比里亚大使尹承武出席使馆举办的首届中国在利同胞运动会,https://www.fmprc.gov.cn/wjdt_674879/zwbd_674895/202605/t20260511_11908216.shtml
中国外交部.py,驻利比里亚大使尹承武出席援利比里亚广播电台维修扩建项目揭幕仪式,https://www.fmprc.gov.cn/wjdt_674879/zwbd_674895/202605/t20260511_11908218.shtml
中国外交部.py,驻乍得大使王晰宁在乍媒体发表署名文章宣介中国对非全面零关税政策,https://www.fmprc.gov.cn/wjdt_674879/zwbd_674895/202605/t20260511_11908219.shtml
中国外交部.py,驻也门使馆临时代办邵峥会见也门萨巴卫星电视台台长,https://www.fmprc.gov.cn/wjdt_674879/zwbd_674895/202605/t20260511_11908215.shtml
中国外交部.py,驻也门使馆临时代办邵峥拜会也前总理穆因,https://www.fmprc.gov.cn/wjdt_674879/zwbd_674895/202605/t20260511_11908214.shtml
中国外交部.py,驻阿尔及利亚大使董广利会见阿航总裁,https://www.fmprc.gov.cn/wjdt_674879/zwbd_674895/202605/t20260511_11908208.shtml
中国外交部.py,驻也门使馆临时代办邵峥拜会也前总理穆因,https://www.fmprc.gov.cn/zwbd_673032/wshd_673034/202605/t20260511_11908214.shtml
中国外交部.py,驻利比里亚大使尹承武出席援利比里亚广播电台维修扩建项目揭幕仪式,https://www.fmprc.gov.cn/zwbd_673032/wshd_673034/202605/t20260511_11908218.shtml
中国外交部.py,驻阿尔及利亚大使董广利会见阿航总裁,https://www.fmprc.gov.cn/zwbd_673032/gzhd_673042/202605/t20260511_11908208.shtml
中国外交部.py,驻也门使馆临时代办邵峥会见也门萨巴卫星电视台台长,https://www.fmprc.gov.cn/zwbd_673032/gzhd_673042/202605/t20260511_11908215.shtml
中国外交部.py,驻乍得大使王晰宁在乍媒体发表署名文章宣介中国对非全面零关税政策,https://www.fmprc.gov.cn/zwbd_673032/wjzs/202605/t20260511_11908219.shtml
中国外交部.py,驻利比里亚大使尹承武出席使馆举办的首届中国在利同胞运动会,https://www.fmprc.gov.cn/zwbd_673032/jghd_673046/202605/t20260511_11908216.shtml
中国外交部.py,2026年5月11日外交部发言人郭嘉昆主持例行记者会,https://www.fmprc.gov.cn/fyrbt_673021/jzhsl_673025/202605/t20260511_11908352.shtml
国际海事组织.py,,
世界贸易组织.py,,
日本外务省.py,Vice-Minister Foreign for Affairs Funakoshi’s Travel to India,https://www.mofa.go.jp/press/release/pressite_000001_02329.html
日本外务省.py,Courtesy call on State Minister for Foreign Affairs HORII by foreign partners in the field of peace mediation,https://www.mofa.go.jp/press/release/pressite_000001_02328.html
日本外务省.py,Disembarkation of a Japanese national from a cruise ship where Hantavirus cases had been identified and Cooperation by the UK Government,https://www.mofa.go.jp/press/release/pressite_000001_02326.html
联合国海洋法庭.py,,
国际海底管理局.py,,
战略与国际研究中心.py,Economic Impacts of Iran War: The Capital Cable #134,https://www.csis.org/events/economic-impacts-iran-war-capital-cable-134
美国国务院.py,,
美国运输部海事管理局.py,,
中国海事局.py,,
日本海上保安大学校.py,,
日本海上保安厅.py,,
太平洋岛国论坛.py,,
越南外交部.py,Việt Nam tham dự Diễn đàn rà soát Di cư quốc tế lần thứ hai,https://mofa.gov.vn/vi/tin-chi-tiet/chi-tiet/viet-nam-tham-du-dien-dan-ra-soat-di-cu-quoc-te-lan-thu-hai-59707-139.html
越南外交学院.py,,
中国国际电视台官微.py,,
南海之声.py,,
