script,title,link
中国外交部.py,驻曼彻斯特总领事唐锐出席“北洋水师遗产” 国际研讨会,https://www.fmprc.gov.cn/wjdt_674879/zwbd_674895/202507/t20250722_11674893.shtml
中国外交部.py,驻利比里亚大使尹承武出席2025利比里亚技术峰会,https://www.fmprc.gov.cn/wjdt_674879/zwbd_674895/202507/t20250722_11674896.shtml
中国外交部.py,驻哥伦比亚大使朱京阳出席“一带一路”农村发展主题研讨会,https://www.fmprc.gov.cn/wjdt_674879/zwbd_674895/202507/t20250722_11674900.shtml
中国外交部.py,驻格林纳达大使韦宏添出席驻格使馆举行的中国人民抗日战争胜利80周年侨界座谈会,https://www.fmprc.gov.cn/wjdt_674879/zwbd_674895/202507/t20250722_11674904.shtml
中国外交部.py,驻曼彻斯特总领事唐锐出席“北洋水师遗产” 国际研讨会,https://www.fmprc.gov.cn/zwbd_673032/gzhd_673042/202507/t20250722_11674893.shtml
中国外交部.py,驻利比里亚大使尹承武出席2025利比里亚技术峰会,https://www.fmprc.gov.cn/zwbd_673032/gzhd_673042/202507/t20250722_11674896.shtml
中国外交部.py,驻哥伦比亚大使朱京阳出席“一带一路”农村发展主题研讨会,https://www.fmprc.gov.cn/zwbd_673032/gzhd_673042/202507/t20250722_11674900.shtml
中国外交部.py,驻格林纳达大使韦宏添出席驻格使馆举行的中国人民抗日战争胜利80周年侨界座谈会,https://www.fmprc.gov.cn/zwbd_673032/jghd_673046/202507/t20250722_11674904.shtml
国际海事组织.py,,
世界贸易组织.py,,
日本外务省.py,Appointment of a Japanese Member to the Independent Scientific Panel on the Effects of Nuclear War of the United Nations,https://www.mofa.go.jp/press/release/pressite_000001_01468.html
联合国海洋法庭.py,,
国际海底管理局.py,,
战略与国际研究中心.py,,
美国国务院.py,,
美国运输部海事管理局.py,,
中国海事局.py,,
日本海上保安大学校.py,,
日本海上保安厅.py,「海上保安官に協力援助した者等の災害給付に関する法律施行令の一部を改正する政令」を閣議決定 ～災害給付における介護給付額（限度額）を改定～,https://www.kaiho.mlit.go.jp/info/kouhou/post-1224.html
太平洋岛国论坛.py,,
越南外交部.py,,
越南外交学院.py,,
中国国际电视台官微.py,跨越太平洋的咖啡香,https://video.weibo.com/show?fid=1034%3A5191181873905736
中国国际电视台官微.py,小球承载大使命 匹克球引少年行,https://video.weibo.com/show?fid=1034%3A5191181567721571
南海之声.py,让更多人记住历史#东极岛将侵略者罪证搬上大银幕#,https://video.weibo.com/show?fid=1034%3A5191128694063131
南海之声.py,#琼州海峡客滚运输恢复运行#,https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E5%8D%97%E6%B5%B7%E7%89%B9%E5%BF%AB%23&isnewpage=1
南海之声.py,#台风韦帕#影响持续风暴潮预警级别维持橙色,https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E5%8F%B0%E9%A3%8E%E9%9F%A6%E5%B8%95%23
南海之声.py,#南海海域军事训练#,https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E8%88%AA%E8%A1%8C%E8%AD%A6%E5%91%8A%23&isnewpage=1
南海之声.py,,https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E6%97%A9%E5%AE%89%E5%8D%97%E6%B5%B7%23&isnewpage=1
海事服务网.py,,
