script,title,link
中国外交部.py,中国政府中东问题特使翟隽出席阿尔及利亚国庆暨独立革命71周年招待会,https://www.fmprc.gov.cn/wjdt_674879/sjxw_674887/202511/t20251112_11751370.shtml
中国外交部.py,驻古巴大使华昕出席2025年古巴国际体育大会中国主宾国活动开幕式,https://www.fmprc.gov.cn/wjdt_674879/zwbd_674895/202511/t20251112_11751465.shtml
中国外交部.py,驻特立尼达和多巴哥大使任洪岩会见联合国开发计划署驻特多代表布兰科,https://www.fmprc.gov.cn/wjdt_674879/zwbd_674895/202511/t20251112_11751468.shtml
中国外交部.py,驻尼加拉瓜大使瞿瑜辉出席中国海军“丝路方舟”号医院船抵达欢迎仪式,https://www.fmprc.gov.cn/wjdt_674879/zwbd_674895/202511/t20251112_11751473.shtml
中国外交部.py,驻特立尼达和多巴哥大使任洪岩会见联合国开发计划署驻特多代表布兰科,https://www.fmprc.gov.cn/zwbd_673032/wshd_673034/202511/t20251112_11751468.shtml
中国外交部.py,驻古巴大使华昕出席2025年古巴国际体育大会中国主宾国活动开幕式,https://www.fmprc.gov.cn/zwbd_673032/gzhd_673042/202511/t20251112_11751465.shtml
中国外交部.py,驻尼加拉瓜大使瞿瑜辉出席中国海军“丝路方舟”号医院船抵达欢迎仪式,https://www.fmprc.gov.cn/zwbd_673032/gzhd_673042/202511/t20251112_11751473.shtml
国际海事组织.py,,
世界贸易组织.py,,
日本外务省.py,Japan-Spain Vice-Ministerial-level Political Consultation,https://www.mofa.go.jp/press/release/pressite_000001_01820.html
日本外务省.py,Delisting of Two Individuals Designated for Asset Freezing and Other Measures against Terrorists and Others,https://www.mofa.go.jp/press/release/pressite_000001_01819.html
联合国海洋法庭.py,,
战略与国际研究中心.py,The Impossible State Live Podcast: South Korea’s Nuclear Submarine Deal: What’s Next?,https://www.csis.org/events/impossible-state-live-podcast-south-koreas-nuclear-submarine-deal-whats-next
战略与国际研究中心.py,The Impossible State Live Podcast: South Korea’s Nuclear Submarine Deal: What’s Next?,https://www.csis.org/events/impossible-state-live-podcast-south-koreas-nuclear-submarine-deal-whats-next
美国国务院.py,,
美国运输部海事管理局.py,,
中国海事局.py,,
日本海上保安大学校.py,,
日本海上保安厅.py,,
太平洋岛国论坛.py,,
越南外交部.py,,
越南外交学院.py,,
中国国际电视台官微.py,当‘零关税’遇上非洲好物，你没发现的进博会宝藏全在这里！,https://video.weibo.com/show?fid=1034%3A5232150019244077&launchid=10000360-page_H5
中国国际电视台官微.py,开放引领新时代：多边、多极与多元文明的共生之路,https://video.weibo.com/show?fid=1034%3A5232117962178622&launchid=10000360-page_H5
中国国际电视台官微.py,#星球奇迹#第二集蓝色循环,https://video.weibo.com/show?fid=1034%3A5231905885585477&launchid=10000360-page_H5
中国国际电视台官微.py,你不知道的美国：政府停摆持续 美国民众担心无法回家过节,https://video.weibo.com/show?fid=1034%3A5231881516679186&launchid=10000360-page_H5
南海之声.py,#泰国总理重申将不再遵守泰柬和平联合声明#,https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E5%8D%97%E6%B5%B7%E7%89%B9%E5%BF%AB%23&isnewpage=1&launchid=10000360-page_H5
南海之声.py,#菲律宾各地灾后清理仍在进行中#,https://video.weibo.com/show?fid=1034%3A5231935228936225&launchid=10000360-page_H5
南海之声.py,美军方称“福特”号航母进入拉美周边水域,https://video.weibo.com/show?fid=1034%3A5232084722057237&launchid=10000360-page_H5
南海之声.py,,https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E6%97%A9%E5%AE%89%E5%8D%97%E6%B5%B7%23&isnewpage=1&launchid=10000360-page_H5
海事服务网.py,,
