script,title,link
中国外交部.py,赵乐际对新西兰进行正式友好访问,https://www.fmprc.gov.cn/zyxw/202511/t20251122_11758190.shtml
中国外交部.py,塔吉克斯坦总统拉赫蒙会见王毅,https://www.fmprc.gov.cn/wjbzhd/202511/t20251122_11758203.shtml
中国外交部.py,塔吉克斯坦总统拉赫蒙会见王毅,https://www.fmprc.gov.cn/wjdt_674879/gjldrhd_674881/202511/t20251122_11758203.shtml
中国外交部.py,赵乐际对新西兰进行正式友好访问,https://www.fmprc.gov.cn/wjdt_674879/gjldrhd_674881/202511/t20251122_11758190.shtml
中国外交部.py,塔吉克斯坦总统拉赫蒙会见王毅,https://www.fmprc.gov.cn/wjdt_674879/wjbxw_674885/202511/t20251122_11758203.shtml
国际海事组织.py,,
世界贸易组织.py,,
日本外务省.py,,
联合国海洋法庭.py,,
战略与国际研究中心.py,,
美国国务院.py,,
美国运输部海事管理局.py,,
中国海事局.py,,
日本海上保安大学校.py,,
日本海上保安厅.py,,
太平洋岛国论坛.py,,
越南外交部.py,Đoàn đại biểu Đảng Cộng sản Việt Nam thăm và làm việc tại Tây Ban Nha,https://mofa.gov.vn/vi/tin-chi-tiet/chi-tiet/doan-dai-bieu-dang-cong-san-viet-nam-tham-va-lam-viec-tai-tay-ban-nha-57982-139.html
越南外交学院.py,,
中国国际电视台官微.py,,
南海之声.py,,
