script,title,link
中国外交部.py,习近平同美国总统特朗普会谈,https://www.fmprc.gov.cn/zyxw/202609/t20260925_12031134.shtml
中国外交部.py,习近平出席美国总统特朗普在白宫举行的欢迎仪式,https://www.fmprc.gov.cn/zyxw/202609/t20260925_12031112.shtml
中国外交部.py,彭丽媛同美国总统特朗普夫人梅拉尼娅参观国立亚洲艺术博物馆,https://www.fmprc.gov.cn/zyxw/202609/t20260925_12031138.shtml
中国外交部.py,彭丽媛同美国总统特朗普夫人梅拉尼娅参观国立亚洲艺术博物馆,https://www.fmprc.gov.cn/wjdt_674879/gjldrhd_674881/202609/t20260925_12031138.shtml
中国外交部.py,习近平同美国总统特朗普会谈,https://www.fmprc.gov.cn/wjdt_674879/gjldrhd_674881/202609/t20260925_12031134.shtml
中国外交部.py,习近平出席美国总统特朗普在白宫举行的欢迎仪式,https://www.fmprc.gov.cn/wjdt_674879/gjldrhd_674881/202609/t20260925_12031112.shtml
国际海事组织.py,,
世界贸易组织.py,,
日本外务省.py,,
联合国海洋法庭.py,,
国际海底管理局.py,,
战略与国际研究中心.py,What Did Trump and Xi Agree to at the White House? | State of Play,https://www.csis.org/events/what-did-trump-and-xi-agree-white-house-state-play
战略与国际研究中心.py,Energy Shots: Is a Diesel Export Ban the Answer to High Prices?,https://www.csis.org/events/energy-shots-diesel-export-ban-answer-high-prices
战略与国际研究中心.py,What Did Trump and Xi Agree to at the White House? | State of Play,https://www.csis.org/events/what-did-trump-and-xi-agree-white-house-state-play
战略与国际研究中心.py,What Did Trump and Xi Agree to at the White House? | State of Play,https://www.csis.org/events/what-did-trump-and-xi-agree-white-house-state-play
美国国务院.py,,
美国运输部海事管理局.py,,
中国海事局.py,,
日本海上保安大学校.py,,
日本海上保安厅.py,,
太平洋岛国论坛.py,,
越南外交部.py,"Tổng Bí thư, Chủ tịch nước Tô Lâm hội đàm Thủ tướng Canada Mark Carney",https://mofa.gov.vn/tin-chi-tiet/chi-tiet/tong-bi-thu-chu-tich-nuoc-to-lam-hoi-dam-thu-tuong-canada-mark-carney-62370-138.html
越南外交部.py,"Tổng Bí thư, Chủ tịch nước Tô Lâm hội kiến Toàn quyền Canada Louise Arbour",https://mofa.gov.vn/tin-chi-tiet/chi-tiet/tong-bi-thu-chu-tich-nuoc-to-lam-hoi-kien-toan-quyen-canada-louise-arbour-62369-138.html
越南外交学院.py,,
中国国际电视台官微.py,,
南海之声.py,,
